,scan2,scan4,scan6,scan8
P180_02_1,0.038178317756639296,0.03620486521175051,0.03260112065632283,0.03359032699566179
P180_02_2,0.03681997052346411,0.03647801477923215,0.034180086942210905,0.03492599601161771
P180_02_3,0.037810465531955294,0.03419242793401181,0.03010163479959717,0.030415229121847447
P180_02_4,0.03664172941981956,0.032883462258684014,0.03377740422330084,0.03289443638690809
P180_02_5,0.036260745219711794,0.041700086639023276,0.0385450869671619,0.03589999399052772
P180_02_1,0.029207954113403444,0.027998005567151513,0.025523873848123733,0.025678579362605654
P180_02_2,0.026152734990450035,0.026758062919195268,0.025061487661611193,0.025449888414876623
P180_02_3,0.02856038108463874,0.023661260328706878,0.02166426375797965,0.021944135326531427
P180_02_4,0.026864804673619774,0.024106606631074282,0.02496236836077164,0.02406814875817598
P180_02_5,0.025426858877728168,0.03180208067851105,0.030636143673462055,0.027742578090467214
P180_02_1,0.019326706218473814,0.017275784377916367,0.015432762863694063,0.015385691049263323
P180_02_2,0.02373107464392999,0.02123830891003653,0.01888580185730903,0.018762693041547346
P180_02_3,0.021739829807057347,0.019935383695651038,0.01779261508357837,0.017534815551621223
P180_02_4,0.021976450314466774,0.01934724262260059,0.0181764582454631,0.01754791572036462
P180_02_5,0.021540813078397135,0.018916189168978914,0.017364524387056546,0.017190091016865694
P180_02_1,0.04788017028065404,0.04448069006344697,0.04030191343881259,0.04047010754614539
P180_02_2,0.0491319340020971,0.04701153089187123,0.04322237995268007,0.04360611057023253
P180_02_3,0.0493624143117838,0.042197669729926265,0.03853900584121468,0.03871202057569606
P180_02_4,0.0477597367639494,0.04223272151418134,0.04215533086950628,0.04077878818174388
P180_02_5,0.04590967524304096,0.04936187643808644,0.047754612046936824,0.04451254468329546
P180_02_1,0.49164190827979015,1.0165594379060232,0.9344838599372116,0.8481714044613097
P180_02_2,0.35017198541018996,0.4407052413275824,0.8837039730011294,0.712304942713993
P180_02_3,0.4348138184511896,0.832422521057182,0.8738670411682358,0.9986240913341748
P180_02_4,0.6163547493824508,0.8815417562532285,0.7488072214640763,0.9759714459143534
P180_02_5,0.25416269785518436,0.8762329618650713,1.8415953739768443,1.1045638588977968
P180_02_1,1.3164556962025322,1.3431372549019602,1.3388157894736858,1.335548172757476
P180_02_2,1.2852760736196307,1.31629392971246,1.3236245954692551,1.3086816720257242
P180_02_3,1.2625368731563427,1.3138461538461532,1.31230283911672,1.3091482649842268
P180_02_4,1.3079365079365086,1.3409090909090924,1.3593220338983043,1.347826086956521
P180_02_5,1.2602339181286555,1.3048780487804872,1.3203883495145632,1.3044871794871793
P180_02_1,0,0,0,0
P180_02_2,0,0,0.027833357288213657,0
P180_02_3,0,0,0,0
P180_02_4,0,0,0,0
P180_02_5,0,0,0,0
P180_02_1,0.0059537774591812455,0.005353678754584493,0.0048331945421495525,0.004897135542577542
P180_02_2,0.007029769262624107,0.006496344860908826,0.0058728829285452965,0.00591026840599464
P180_02_3,0.006050099223479191,0.0057372299775262595,0.005282210474919806,0.005288339589193696
P180_02_4,0.0063949062189166146,0.0057033900106467335,0.005289933488960927,0.005245525674306919
P180_02_5,0.0061610922025083755,0.005470399182771876,0.005162086116301263,0.005197016158065195
